TimeStep,real_f3,pred_f3
0,-1.2629901,-1.01955025
1,-1.3216436,-1.03375575
2,-1.0073497,-0.917916075
3,-1.3216436,-1.18738925
4,-1.420137,-1.2637694
5,-1.2823567,-1.2713921
6,-1.440057,-1.2919039
7,-1.5579172,-1.200386835
8,-1.5772839,-1.3398636
9,-1.6564106,-1.3251887
10,-1.6364907,-1.26028445
11,-1.7150642,-1.3743514
12,-1.8135576,-1.377511815
13,-1.8329241,-1.40821925
14,-1.872211,-1.4696334
15,-1.7742708,-1.46804
16,-1.9513378,-1.54033935
17,-1.9906244,-1.52808575
18,-1.9707044,-1.4795753
19,-1.9906244,-1.5693618
20,-1.9906244,-1.61530585
21,-1.6757773,-1.3740558
22,-1.6757773,-1.4191106
23,-1.6956974,-1.36185115
24,-1.7150642,-1.39430035
25,-1.5972039,-1.39900575
26,-1.6165706,-1.373945
27,-2.2656317,-1.62100513
28,-1.9707044,-1.5697941
29,-1.2237034,-1.072079665
30,-1.2629901,-1.05927155
31,-1.1252099,-0.9562316
32,-0.8502028,-0.7810887
33,-0.948143,-0.77639067
34,0.0744185,-0.2854657
35,-0.55527574,-0.62558157
36,0.31013885,-0.218069125
37,0.13307188,-0.31037746
38,-0.3582888,-0.58842473
39,0.23156542,-0.35518524
40,0.15299194,-0.320513105
41,-0.004708281,-0.382059191
42,0.46728575,-0.130826525
43,-0.3389221,-0.56244545
44,-0.29963538,-0.60604904
45,-0.043995026,-0.365453633
46,-0.37820882,-0.40832766
47,-0.22106192,-0.31918971
48,-0.37820882,-0.425913485
49,-0.024074992,-0.248731011
50,-0.41749552,-0.51240441
51,-0.515989,-0.5256561
52,-0.515989,-0.5400543
53,-0.31900206,-0.48903368
54,-0.27971536,-0.556208315
55,-0.24042861,-0.395654705
56,-0.6139292,-0.523230265
57,-0.3389221,-0.4412196
58,-0.63384914,-0.61042942
59,-0.43686223,-0.525933715
60,-0.71242267,-0.681855055
61,-0.31900206,-0.59305553
62,-0.39757553,-0.668905865
63,-0.18122187,-0.573461585
64,-0.6139292,-0.768475675
65,-0.63384914,-0.75694902
66,-0.968063,-0.92260328
67,-1.4007703,-1.13379475
68,-0.8302828,-0.861656485
69,-0.515989,-0.71548232
70,-0.67313594,-0.79637605
71,-1.0665565,-1.0115864
72,-1.1252099,-1.02143632
73,-1.1644965,-1.02206325
74,-0.9287763,-0.895225125
75,-1.0665565,-1.05993595
76,-1.6364907,-1.301389425
77,-2.069198,-1.38065433
78,-1.5579172,-1.012056065
79,-1.4793437,-0.97611519
