TimeStep,real_f5,pred_f5
0,-0.7533638,nan
1,-0.40880436,nan
2,-0.27658972,nan
3,-0.096297,nan
4,-0.7453508,nan
5,-0.46890193,nan
6,-0.6852532,nan
7,-0.6251556,nan
8,-0.6852532,nan
9,-0.55303854,nan
10,-0.48092145,nan
11,-0.45688242,nan
12,0.5287177,nan
13,0.30034697,nan
14,0.03591765,nan
15,-0.48092145,nan
16,-0.8294874,nan
17,-0.9336565,nan
18,-1.0378256,nan
19,-1.0378256,nan
20,-1.2341443,nan
21,-1.1339817,nan
22,-1.3102679,nan
23,-1.3062614,nan
24,-0.8615394,nan
25,-0.45688242,nan
26,-0.38476533,nan
27,-0.13235554,nan
28,-0.2645702,nan
29,-0.3607263,nan
30,-0.6852532,nan
31,-0.7814093,nan
32,-0.6732337,nan
33,-0.22851165,nan
34,-0.33668727,nan
35,-0.1804336,nan
36,0.57679576,nan
37,-0.08427749,nan
38,-0.34870678,nan
39,-0.5890971,nan
40,-0.8655459,nan
41,-1.0137866,nan
42,-0.9937541,nan
43,-1.1139492,nan
44,-1.2822224,nan
45,-1.3182809,nan
46,-1.4865541,nan
47,-1.1900728,nan
48,-0.88557845,nan
49,-0.40880436,nan
50,-0.2645702,nan
51,-0.49294096,nan
52,-0.6251556,nan
53,-1.2101053,nan
54,-1.0979232,nan
55,-1.1419947,nan
56,-1.2461638,nan
57,-1.1860663,nan
58,-0.8655459,nan
59,-0.45688242,nan
60,0.22822988,nan
61,0.30034697,nan
62,-0.28860924,nan
63,-0.56505805,nan
64,-1.1179557,nan
65,-1.2101053,nan
66,-1.2101053,nan
67,-1.1139492,nan
68,-1.3543395,nan
69,-1.390398,nan
70,-1.414437,nan
71,-1.0738841,nan
72,-0.73333126,nan
73,-0.57707757,nan
74,-0.27658972,nan
75,0.023898136,nan
76,-0.6812467,nan
77,-1.2101053,nan
78,-1.2381508,nan
79,-1.2381508,nan
80,-1.0338191,nan
81,-0.7653833,nan
82,-0.31264824,nan
83,-0.2645702,nan
84,0.36044455,nan
85,0.5888153,nan
86,-0.22851165,nan
87,-0.57707757,nan
88,-1.0298126,nan
89,-1.1139492,nan
90,-1.1139492,nan
91,-1.0137866,nan
92,-1.1620272,nan
93,-1.2621899,nan
94,-1.34232,nan
95,-0.8415069,nan
96,-0.55303854,nan
97,-0.49294096,nan
98,0.09601522,nan
99,0.44458115,nan
100,-0.048218947,nan
101,-0.6011166,nan
102,-0.8415069,nan
103,-0.3727458,nan
104,-0.6011166,nan
105,-0.28860924,nan
106,-0.19245312,nan
107,-0.10831652,nan
108,0.6248738,nan
109,0.1561128,nan
110,-0.31264824,nan
111,-0.63717514,nan
112,-0.8655459,nan
113,-1.0818971,nan
114,-1.0698776,nan
115,-0.94968253,nan
116,-1.2101053,nan
117,-1.1860663,nan
118,-1.366359,nan
119,-0.57707757,nan
120,-0.73333126,nan
121,-0.70929223,nan
122,-0.38476533,nan
123,0.14409329,nan
124,-0.10831652,nan
125,-0.40880436,nan
126,-0.56505805,nan
127,-0.3727458,nan
128,-0.55303854,nan
129,-0.6251556,nan
130,0.047937166,nan
131,0.18015182,nan
132,0.5527567,nan
133,0.16813232,nan
134,-0.40880436,nan
135,-0.6131361,nan
136,-0.8535264,nan
137,-1.017793,nan
138,-1.0899101,nan
139,-1.1019297,nan
140,-1.1139492,nan
141,-1.2261313,nan
142,-1.2221248,nan
143,-0.78942233,nan
144,-0.64919466,nan
145,-0.3727458,nan
146,-0.1804336,nan
147,0.37246406,nan
148,-0.14437506,nan
149,-0.39678484,nan
150,-0.56505805,nan
151,-0.6131361,nan
152,-0.8535264,nan
153,-0.6131361,nan
154,-0.036199436,nan
155,0.10803474,nan
156,0.21621037,nan
157,-0.07225797,nan
158,-0.39678484,nan
159,-0.7453508,nan
160,-0.9016045,nan
161,-1.0979232,nan
162,-1.1259687,nan
163,-1.2461638,nan
164,-1.3062614,nan
165,-1.366359,nan
166,-1.414437,nan
167,-0.95769554,nan
168,-0.72131175,nan
169,-0.22851165,nan
170,0.011878622,nan
171,0.28832746,nan
172,0.047937166,nan
173,-0.22851165,nan
174,-0.56505805,nan
175,-0.6972727,nan
176,-0.72131175,nan
177,-0.8294874,nan
178,-0.4328434,nan
179,-0.10831652,nan
180,0.48063967,nan
181,0.27630794,nan
182,0.059956677,nan
183,-0.51698,nan
184,-0.73333126,nan
185,-0.94968253,nan
186,-1.0258061,nan
187,-0.937663,nan
188,-1.1740468,nan
189,-1.2101053,nan
190,-1.414437,nan
191,-1.2341443,nan
192,-0.5890971,nan
193,-0.42082387,nan
194,0.22822988,nan
195,0.5888153,nan
196,0.18015182,nan
197,-0.000140892,nan
198,-0.16841409,nan
199,-0.31264824,nan
200,-0.3607263,nan
201,-0.541019,nan
202,-0.19245312,nan
203,0.14409329,nan
204,0.3965031,nan
205,-0.20447263,nan
206,-0.34870678,nan
207,-0.541019,nan
208,-0.8415069,nan
209,-1.0939167,nan
210,-1.1259687,nan
211,-1.0378256,nan
212,-1.2942419,nan
213,-1.2822224,nan
214,-1.5105932,nan
215,-1.4384761,nan
216,-0.80945486,nan
217,-0.45688242,nan
218,-0.42082387,nan
219,-0.060238462,nan
220,-0.20447263,nan
221,-0.2525507,nan
222,-0.6972727,nan
223,-0.9937541,nan
224,-0.913624,nan
225,-0.937663,nan
226,-1.0057735,nan
227,-0.6612142,nan
228,0.20419085,nan
229,0.10803474,nan
230,-0.14437506,nan
231,-0.45688242,nan
232,-1.0057735,nan
233,-1.1259687,nan
234,-1.1500077,nan
235,-1.0738841,nan
236,-1.2101053,nan
237,-1.2461638,nan
238,-1.1900728,nan
239,-0.51698,nan
240,-0.48092145,nan
241,-0.6251556,nan
242,-0.22851165,nan
243,0.13207377,nan
244,-0.42082387,nan
245,-0.27658972,nan
246,-0.57707757,nan
247,-0.42082387,nan
248,-0.7453508,nan
249,-0.51698,nan
250,0.14409329,nan
251,0.9974788,nan
252,1.2579017,nan
253,0.6969909,nan
254,0.047937166,nan
255,-0.3727458,nan
256,-0.6732337,nan
257,-0.8294874,nan
258,-1.0137866,nan
259,-0.921637,nan
260,-0.945676,nan
261,-1.1620272,nan
262,-1.0378256,nan
263,-0.6131361,nan
264,-0.6612142,nan
265,-0.16841409,nan
266,-0.000140892,nan
267,0.3965031,nan
268,-0.000140892,nan
269,-0.24053116,nan
270,-0.3607263,nan
271,-0.15639457,nan
272,-0.87355894,nan
273,-0.3607263,nan
274,0.6248738,nan
275,0.74506897,nan
276,0.73304945,nan
277,0.2522689,nan
278,-0.14437506,nan
279,-0.28860924,nan
280,-0.6131361,nan
281,-1.0698776,nan
282,-1.0899101,nan
283,-0.96170205,nan
284,-0.9096175,nan
285,-1.0818971,nan
286,-0.72131175,nan
287,-0.4448629,nan
288,-0.46890193,nan
289,-0.49294096,nan
290,-0.4448629,nan
291,0.011878622,nan
292,-0.060238462,nan
293,-0.2525507,nan
294,-0.56505805,nan
295,-0.31264824,nan
296,-0.5289995,nan
297,-0.30062875,nan
298,0.20419085,nan
299,0.6008348,nan
300,0.88529664,nan
301,0.37246406,nan
302,0.08399571,nan
303,-0.45688242,nan
304,-0.6852532,nan
305,-1.0578581,nan
306,-1.1179557,nan
307,-0.9937541,nan
308,-0.95769554,nan
309,-1.2461638,nan
310,-0.7774028,nan
311,-0.4328434,nan
312,-0.16841409,nan
313,-0.28860924,nan
314,-0.13235554,nan
315,0.34842503,nan
316,-0.10831652,nan
317,-0.012160406,nan
318,-0.24053116,nan
319,-0.31264824,nan
320,-0.3727458,nan
321,-0.19245312,nan
322,0.49265918,nan
323,0.73304945,nan
324,0.7050039,nan
325,0.63689333,nan
326,0.14409329,nan
327,-0.541019,nan
328,-0.64919466,nan
329,-1.0258061,nan
330,-1.1179557,nan
331,-1.0778906,nan
332,-0.89759797,nan
333,-1.0939167,nan
334,-1.001767,nan
335,-0.6251556,nan
336,-0.3727458,nan
337,-0.14437506,nan
338,-0.48092145,nan
339,0.18015182,nan
340,-0.4328434,nan
341,-0.2525507,nan
342,-0.036199436,nan
343,-0.4328434,nan
344,-0.80544835,nan
345,-0.6131361,nan
346,-0.012160406,nan
347,0.48063967,nan
348,0.7090104,nan
349,0.3123665,nan
350,-0.19245312,nan
351,-0.34870678,nan
352,-0.57707757,nan
353,-0.96971506,nan
354,-1.0258061,nan
355,-1.0859036,nan
356,-0.95769554,nan
357,-1.1980858,nan
358,-1.1980858,nan
359,-0.70929223,nan
360,-0.5049605,nan
361,-0.34870678,nan
362,-0.036199436,nan
363,0.16813232,nan
364,0.1561128,nan
365,-0.24053116,nan
366,-0.12033603,nan
367,-0.28860924,nan
368,-0.31264824,nan
369,-0.000140892,nan
370,-0.036199436,nan
371,0.13207377,nan
372,0.66093236,nan
373,-0.10831652,nan
374,-0.1804336,nan
375,-0.57707757,nan
376,-0.7693898,nan
377,-0.87756544,nan
378,-1.0458386,nan
379,-1.1500077,nan
380,-1.2101053,nan
381,-1.2702029,nan
382,-1.5105932,nan
383,-1.2822224,nan
384,-0.95769554,nan
385,-0.541019,nan
386,-0.07225797,nan
387,0.45660067,nan
388,-0.3607263,nan
389,-0.6852532,nan
390,-0.8655459,nan
391,-1.1780533,nan
392,-1.1179557,nan
393,-1.0939167,nan
394,-0.96971506,nan
395,-0.32466775,nan
396,0.20419085,nan
397,-0.1804336,nan
398,-0.40880436,nan
399,-0.6732337,nan
400,-0.921637,nan
401,-1.1540142,nan
402,-1.2221248,nan
403,-1.2581834,nan
404,-1.3303005,nan
405,-1.2942419,nan
406,-0.89359146,nan
407,-0.19245312,nan
408,-0.24053116,nan
409,-0.30062875,nan
410,-0.16841409,nan
411,0.4085226,nan
412,-0.02417992,nan
413,0.19217134,nan
414,-0.34870678,nan
415,-0.49294096,nan
416,-0.46890193,nan
417,-0.28860924,nan
418,0.08399571,nan
419,0.63689333,nan
420,1.093635,nan
421,0.5968283,nan
422,-0.10831652,nan
423,-0.39678484,nan
424,-0.921637,nan
425,-1.0418321,nan
426,-1.0818971,nan
427,-1.1019297,nan
428,-1.1740468,nan
429,-1.1740468,nan
430,-0.81346136,nan
431,-0.32466775,nan
432,-0.40880436,nan
433,-0.30062875,nan
434,-0.08427749,nan
435,0.44458115,nan
436,-0.13235554,nan
437,-0.15639457,nan
438,-0.12033603,nan
439,-0.27658972,nan
440,-0.64919466,nan
441,-0.6131361,nan
442,0.22822988,nan
443,1.1136675,nan
444,0.9173487,nan
445,0.5407372,nan
446,-0.3607263,nan
447,-0.7453508,nan
448,-1.0939167,nan
449,-1.1139492,nan
450,-1.1019297,nan
451,-1.1980858,nan
452,-1.1980858,nan
453,-1.1740468,nan
454,-0.6732337,nan
455,-0.33668727,nan
456,-0.28860924,nan
457,-0.39678484,nan
458,-0.19245312,nan
459,-0.08427749,nan
460,0.047937166,nan
461,-0.2645702,nan
462,-0.51698,nan
463,-0.541019,nan
464,-0.5289995,nan
465,-0.6972727,nan
466,0.08399571,nan
467,0.66093236,nan
468,0.8452316,nan
469,0.3123665,nan
470,-0.07225797,nan
471,-0.6251556,nan
472,-0.87756544,nan
473,-1.0418321,nan
474,-1.0778906,nan
475,-1.0618646,nan
476,-1.2101053,nan
477,-1.1139492,nan
478,-1.0137866,nan
479,-0.49294096,nan
480,-0.5289995,nan
481,-0.31264824,nan
482,0.21621037,nan
483,0.4085226,nan
484,-0.40880436,nan
