TimeStep,real_f6,pred_f6
0,-0.7774028,-0.24213235
1,0.047937166,-0.13502899
2,0.44458115,-0.10465407
3,0.26428843,-0.1766611
4,0.16813232,-0.17538084
5,-0.6251556,-0.16774763
6,-0.80544835,-0.27777144
7,-0.7573703,-0.3522887
8,-0.8615394,-0.34119472
9,-0.79342884,-0.24548723
10,-0.541019,-0.05538779
11,0.48063967,0.3398383
12,0.3965031,0.66474795
13,0.16813232,0.59796786
14,-0.46890193,0.007985041
15,-0.81746787,-0.40153748
16,-1.0899101,-0.71790093
17,-1.1980858,-0.9736526
18,-1.1860663,-1.0011452
19,-1.2461638,-1.0331444
20,-1.3182809,-1.0531074
21,-1.2341443,-1.2353524
22,-0.80544835,-0.92262936
23,-0.51698,-0.4306725
24,-0.3607263,-0.1550853
25,-0.30062875,-0.10169299
26,-0.000140892,-0.008023862
27,0.21621037,0.03753341
28,-0.07225797,-0.11109571
29,-0.02417992,0.003610462
30,-0.13235554,0.0417229
31,-0.31264824,-0.030877154
32,-0.10831652,-0.07032052
33,0.1561128,-0.022016834
34,0.7651015,0.20402302
35,1.0695959,0.5607978
36,1.157739,0.7549911
37,0.6969909,0.6403193
38,0.10803474,-0.004340511
39,-0.56505805,-0.6230227
40,-0.9817346,-0.8661091
41,-1.1139492,-1.0491738
42,-1.2461638,-1.0398479
43,-1.2101053,-1.1032337
44,-1.34232,-1.0791835
45,-1.2101053,-1.1179495
46,-0.63717514,-0.92616487
47,-0.27658972,-0.43669194
48,-0.096297,-0.114762515
49,-0.07225797,-0.005409103
50,0.2402494,0.055908542
51,0.5407372,0.16727829
52,-0.048218947,0.02652751
53,0.047937166,-0.08136281
54,-0.30062875,-0.11861086
55,-0.24053116,-0.18275777
56,-0.46890193,-0.1860972
57,0.07197619,-0.034521837
58,0.66093236,0.21243405
59,1.0816154,0.5154682
60,0.72904295,0.93151414
61,0.36044455,0.66983175
62,-0.13235554,0.051283643
63,-0.7774028,-0.5406426
64,-1.1500077,-0.812541
65,-1.2822224,-1.0683924
66,-1.2822224,-1.0411798
67,-1.2461638,-1.0849096
68,-1.3182809,-1.0984485
69,-1.2942419,-1.1440737
70,-0.8254809,-0.76870036
71,-0.72131175,-0.37505805
72,-0.5049605,-0.10219242
73,-0.48092145,-0.101806715
74,-0.1804336,-0.06510575
75,0.10803474,0.04732612
76,-0.27658972,-0.018770624
77,-0.15639457,-0.053252865
78,-0.4328434,-0.11132455
79,-0.45688242,-0.16792291
80,-0.5890971,-0.11875807
81,-0.57707757,-0.1121518
82,0.1561128,0.05121435
83,1.2218431,0.41831514
84,0.7050039,0.6005342
85,0.42054212,0.54676163
86,0.03591765,-0.091778204
87,-0.5890971,-0.5551472
88,-0.95769554,-0.830127
89,-1.1740468,-0.9731698
90,-1.1500077,-0.98332036
91,-1.2942419,-1.0204029
92,-1.2221248,-1.0885593
93,-1.1980858,-1.121955
94,-0.5289995,-0.8923723
95,-0.1804336,-0.5741083
96,-0.28860924,-0.22128563
97,-0.46890193,-0.02475201
98,0.023898136,0.10915703
99,0.49265918,0.09193195
100,-0.060238462,0.015032213
101,-0.12033603,0.046431314
102,-0.22851165,0.11977149
103,-0.048218947,0.14860168
104,-0.45688242,0.084136456
105,-0.07225797,0.11579815
106,0.19217134,0.34633246
107,1.0135047,0.5852704
108,1.0135047,0.60121614
109,0.72904295,0.4391087
110,0.12005425,-0.028536629
111,-0.72131175,-0.48145172
112,-1.1139492,-0.74786013
113,-1.2702029,-0.90065885
114,-1.2221248,-0.94626486
115,-1.2702029,-1.0460222
116,-1.3303005,-1.0339038
117,-1.2822224,-1.0678685
118,-0.8254809,-0.8593634
119,-0.45688242,-0.51841104
120,-0.07225797,-0.13660009
121,-0.22851165,-0.00195979
122,0.2522689,0.037925407
123,0.45660067,0.16544516
124,-0.060238462,0.16904692
125,0.03591765,0.15785271
126,-0.096297,0.19023168
127,-0.3607263,0.07441188
128,-0.5049605,0.005232155
129,-0.45688242,0.041632906
130,-0.08427749,0.30233702
131,1.2258496,0.68711275
132,1.0014852,0.7951394
133,0.58480877,0.5013803
134,0.18015182,-0.0364555
135,-0.541019,-0.54932207
136,-0.72131175,-0.7994894
137,-1.0458386,-0.9433956
138,-1.2101053,-0.9698651
139,-1.3182809,-1.0414017
140,-1.2581834,-1.0800195
141,-1.1980858,-1.1211773
142,-1.2381508,-0.8728687
143,-1.1059362,-0.5237474
144,-0.5850906,-0.17379594
145,-0.46890193,0.06521204
146,-0.036199436,0.13748947
147,0.27630794,0.09630118
148,0.38448358,0.05024797
149,0.059956677,-0.008810278
150,-0.13235554,0.079934604
151,-0.13235554,0.041075245
152,-0.34870678,-0.03858388
153,0.023898136,0.03848962
154,0.26428843,0.37950534
155,0.3123665,0.6019612
156,0.37246406,0.77971417
157,-0.048218947,0.5085522
158,-0.51698,0.019587122
159,-0.96170205,-0.52745473
160,-1.0137866,-0.7814918
161,-1.1059362,-0.9196096
162,-1.2221248,-0.9392916
163,-1.2822224,-1.0081435
164,-1.3303005,-1.047875
165,-1.2461638,-1.1547323
166,-1.2501704,-0.81879354
167,-1.1620272,-0.5286476
168,-0.6011166,-0.17509232
169,-0.02417992,-0.018953133
170,0.19217134,0.089880824
171,0.66093236,0.074612096
172,0.19217134,0.058004383
173,-0.3727458,-0.023118872
174,-0.42082387,0.020303793
175,-0.9897476,-0.065216005
176,-0.96971506,-0.0700725
177,-0.8415069,-0.045638453
178,-0.57707757,0.2604914
179,0.6128543,0.5142226
180,0.8612576,0.60363334
181,0.27630794,0.49844757
182,-0.42082387,-0.022854503
183,-0.945676,-0.5240996
184,-1.2101053,-0.7463152
185,-1.3182809,-0.9712055
186,-1.2702029,-0.9708806
187,-1.34232,-1.0011017
188,-1.3783785,-1.0272087
189,-1.2942419,-1.1100582
190,-0.9336565,-0.9092756
191,-0.46890193,-0.47814175
192,-0.57707757,-0.2105221
193,-0.39678484,-0.009163123
194,-0.22851165,-0.051751662
195,0.33640552,0.084152594
196,-0.15639457,0.023890328
197,-0.16841409,-0.08233179
