TimeStep,real_f6,pred_f6
0,1.3191427,nan
1,1.3191427,nan
2,1.3411639,nan
3,1.3308779,nan
4,1.3514737,nan
5,1.3514737,nan
6,1.3169458,nan
7,1.3110904,nan
8,1.3110904,nan
9,1.3500013,nan
10,1.4114524,nan
11,1.4039189,nan
12,1.3885014,nan
13,1.3840464,nan
14,1.3840464,nan
15,1.3840464,nan
16,1.3877531,nan
17,1.408615,nan
18,1.3944533,nan
19,1.3655145,nan
20,1.324998,nan
21,1.3323387,nan
22,1.3323387,nan
23,1.3308779,nan
24,1.3455822,nan
25,1.348673,nan
26,1.375137,nan
27,1.3914713,nan
28,1.3966869,nan
29,1.3966869,nan
30,1.3722514,nan
31,1.3514737,nan
32,1.3662513,nan
33,1.3692089,nan
34,1.4011542,nan
35,1.4011542,nan
36,1.3989205,nan
37,1.4071183,nan
38,1.4153397,nan
39,1.4213275,nan
40,1.4360204,nan
41,1.4475987,nan
42,1.4483471,nan
43,1.4483471,nan
44,1.4513528,nan
45,1.4385678,nan
46,1.4393162,nan
47,1.4084704,nan
48,1.4378194,nan
49,1.437071,nan
50,1.3382179,nan
51,1.3411639,nan
52,1.3618208,nan
53,1.3981721,nan
54,1.3981721,nan
55,1.3981721,nan
56,1.4449542,nan
57,1.470223,nan
58,1.464187,nan
59,1.4925097,nan
60,1.4925097,nan
61,1.4925097,nan
62,1.4925097,nan
63,1.4828757,nan
64,1.4800628,nan
65,1.4810523,nan
66,1.49525,nan
67,1.4929682,nan
68,1.4960107,nan
69,1.4960107,nan
70,1.4929682,nan
71,1.4960107,nan
72,1.4960107,nan
73,1.4891658,nan
74,1.5188766,nan
75,1.5188766,nan
76,1.5188766,nan
77,1.524986,nan
78,1.5142891,nan
79,1.5219313,nan
80,1.5966626,nan
81,1.6332917,nan
82,1.6262534,nan
83,1.6262534,nan
84,1.5865694,nan
85,1.6200116,nan
86,1.6630998,nan
87,1.6907346,nan
88,1.6907346,nan
89,1.6907346,nan
90,1.6907346,nan
91,1.685978,nan
92,1.7113549,nan
93,1.715327,nan
94,1.7368531,nan
95,1.7834185,nan
96,1.7753655,nan
97,1.7753655,nan
98,1.7923043,nan
99,1.7576791,nan
100,1.7185141,nan
101,1.6670353,nan
102,1.6670353,nan
103,1.6552403,nan
104,1.6552403,nan
105,1.7097616,nan
106,1.706586,nan
107,1.6820303,nan
108,1.6607453,nan
109,1.6090974,nan
110,1.6098702,nan
111,1.6098702,nan
112,1.5881267,nan
113,1.5912296,nan
114,1.6473931,nan
115,1.6694021,nan
116,1.673193,nan
117,1.6646814,nan
118,1.6646814,nan
119,1.5772859,nan
120,1.5935475,nan
121,1.5943326,nan
122,1.6137697,nan
123,1.6804487,nan
124,1.6812452,nan
125,1.6812452,nan
126,1.6875597,nan
127,1.693898,nan
128,1.6907346,nan
129,1.703653,nan
130,1.7528621,nan
131,1.7360566,nan
132,1.7360566,nan
133,1.7288728,nan
134,1.7528621,nan
135,1.7088082,nan
136,1.7264823,nan
137,1.6753179,nan
138,1.6717681,nan
139,1.6717681,nan
140,1.6802192,nan
141,1.7368531,nan
142,1.6607453,nan
143,1.6394731,nan
144,1.695479,nan
145,1.6970607,nan
146,1.6970607,nan
147,1.6867747,nan
148,1.715327,nan
149,1.7256857,nan
150,1.666251,nan
151,1.6709831,nan
152,1.6638964,nan
153,1.6638964,nan
154,1.6317223,nan
155,1.6521014,nan
156,1.7042078,nan
157,1.7440485,nan
158,1.7580771,nan
159,1.76089,nan
160,1.76089,nan
161,1.7665044,nan
162,1.751256,nan
163,1.7384586,nan
164,1.7890682,nan
165,1.7947307,nan
166,1.8060551,nan
167,1.8060551,nan
168,1.7440485,nan
169,1.7665044,nan
170,1.8205061,nan
171,1.8353199,nan
172,1.8271704,nan
173,1.8157855,nan
174,1.8157855,nan
175,1.8288002,nan
176,1.8508337,nan
177,1.8631115,nan
178,1.8885854,nan
179,1.9067432,nan
180,1.9042684,nan
181,1.9042684,nan
182,1.9141917,nan
183,1.948262,nan
184,1.9511836,nan
185,1.9574369,nan
186,1.9449295,nan
187,1.9415977,nan
188,1.9415977,nan
189,1.9449295,nan
190,1.9257939,nan
191,1.9257939,nan
192,1.8434693,nan
193,1.8377585,nan
194,1.8377585,nan
195,1.8377585,nan
196,1.8239228,nan
197,1.8516425,nan
198,1.8369497,nan
199,1.870078,nan
200,1.8852897,nan
201,1.868025,nan
202,1.868025,nan
203,1.9515938,nan
204,1.9453404,nan
205,1.9664679,nan
206,1.8491915,nan
207,1.9071534,nan
208,1.8935356,nan
209,1.8935356,nan
210,1.9079866,nan
211,1.9390986,nan
212,1.923307,nan
213,1.8825731,nan
214,1.9548535,nan
215,1.9527652,nan
216,1.9299474,nan
217,1.9257939,nan
218,1.9456779,nan
219,1.9465961,nan
220,1.9071534,nan
221,1.8974106,nan
222,1.8483706,nan
223,1.7689186,nan
224,1.6648383,nan
225,1.6513163,nan
226,1.6146994,nan
227,1.6395458,nan
228,1.470223,nan
229,1.3937049,nan
230,1.1371073,nan
231,1.2306123,nan
232,1.202229,nan
233,1.3448461,nan
234,1.2580054,nan
235,1.2098107,nan
236,1.117006,nan
237,1.1616882,nan
238,1.192667,nan
239,1.234355,nan
240,1.3825619,nan
241,1.3176696,nan
242,1.4011542,nan
243,1.3362383,nan
244,1.4280645,nan
245,1.4363226,nan
246,1.3862678,nan
247,1.375137,nan
248,1.4762834,nan
249,1.3922204,nan
250,1.634849,nan
251,1.546451,nan
252,1.3533208,nan
253,1.3944533,nan
254,1.4318193,nan
255,1.4417311,nan
256,1.4130938,nan
257,1.418334,nan
258,1.3154727,nan
259,1.2724931,nan
260,1.3419001,nan
261,1.26502,nan
262,1.2464514,nan
263,1.2572814,nan
264,1.2486131,nan
265,1.2237912,nan
266,1.2148206,nan
267,1.1842642,nan
268,1.1892864,nan
269,1.127546,nan
270,1.1416228,nan
271,1.1198189,nan
272,1.1987396,nan
273,1.2406809,nan
274,1.328668,nan
275,1.333811,nan
276,1.3169458,nan
277,1.36403,nan
278,1.3140119,nan
279,1.23852,nan
280,1.2522227,nan
281,1.2536712,nan
282,1.2536712,nan
283,1.186256,nan
284,1.1876808,nan
285,1.1387976,nan
286,1.152211,nan
287,1.1762961,nan
288,1.1511482,nan
289,1.2090983,nan
290,1.2138909,nan
291,1.2529473,nan
292,1.2464514,nan
293,1.2609032,nan
294,1.225578,nan
295,1.2105224,nan
296,1.1912422,nan
297,1.2374456,nan
298,1.2270143,nan
299,1.2270143,nan
300,1.2198428,nan
301,1.3272072,nan
302,1.2510029,nan
303,1.2392439,nan
304,1.2225715,nan
305,1.2826582,nan
306,1.2543958,nan
307,1.2695837,nan
308,1.2538166,nan
309,1.2663239,nan
310,1.3169458,nan
311,1.3947915,nan
312,1.4438316,nan
313,1.4258193,nan
314,1.4168365,nan
315,1.5313357,nan
316,1.5433848,nan
317,1.5104738,nan
318,1.5158226,nan
319,1.5802312,nan
320,1.6013228,nan
321,1.6323138,nan
322,1.6356341,nan
323,1.5857966,nan
324,1.6059829,nan
325,1.6021676,nan
326,1.5920025,nan
327,1.4975319,nan
328,1.487656,nan
329,1.5334126,nan
330,1.4645611,nan
331,1.487656,nan
332,1.4672049,nan
333,1.5009485,nan
334,1.5610719,nan
335,1.5234648,nan
336,1.5028561,nan
337,1.5226918,nan
338,1.5288129,nan
339,1.5295857,nan
340,1.5380123,nan
341,1.5564476,nan
