TimeStep,real_f5,pred_f5
0,-0.81712794,-0.5666027
1,-0.8210583,-0.6370498
2,-0.8262987,-0.6504674
3,-0.8367797,-0.65394694
4,-0.84202015,-0.6415334
5,-0.84464043,-0.6435977
6,-0.8459506,-0.6371628
7,-0.84857076,-0.650316
8,-0.84857076,-0.6460247
9,-0.8511911,-0.6248517
10,-0.84988093,-0.6186749
11,-0.84988093,-0.6025749
12,-0.8511911,-0.60583603
13,-0.8511911,-0.6438265
14,-0.8511911,-0.6668019
15,-0.8538113,-0.63470507
16,-0.85643154,-0.6103629
17,-0.85643154,-0.61690366
18,-0.8590518,-0.5861249
19,-0.86298215,-0.60192406
20,-0.8656024,-0.61207545
21,-0.8656024,-0.6080211
22,-0.86167204,-0.61143726
23,-0.85643154,-0.6231403
24,-0.85512143,-0.6203991
25,-0.85512143,-0.613387
26,-0.85774165,-0.5759733
27,-0.86167204,-0.5886001
28,-0.86429226,-0.6065732
29,-0.8656024,-0.61559033
30,-0.86298215,-0.51006603
31,-0.86429226,-0.6343359
32,-0.8603619,-0.65827495
33,-0.8590518,-0.6536875
34,-0.86298215,-0.64937043
35,-0.86167204,-0.61753327
36,-0.86298215,-0.60680705
37,-0.8669125,-0.58077794
38,-0.8656024,-0.54228806
39,-0.86429226,-0.54183555
40,-0.8669125,-0.56032807
41,-0.8682226,-0.5740536
42,-0.86167204,-0.5524194
43,-0.8603619,-0.5385804
44,-0.8656024,-0.561664
45,-0.86953276,-0.6276131
46,-0.8734631,-0.6547883
47,-0.8734631,-0.6499753
48,-0.8734631,-0.6735718
49,-0.86953276,-0.6914673
50,-0.8682226,-0.6906704
51,-0.872153,-0.70130825
52,-0.8760833,-0.6999477
53,-0.8760833,-0.6890006
54,-0.8760833,-0.69695044
55,-0.87870353,-0.6886214
56,-0.8826339,-0.69334173
57,-0.8852542,-0.69892895
58,-0.8839441,-0.71711767
59,-0.8852542,-0.7236619
60,-0.8852542,-0.7280476
61,-0.8865643,-0.714646
62,-0.8878744,-0.710851
63,-0.8891846,-0.7082379
64,-0.89049464,-0.71169734
65,-0.8918048,-0.71617925
66,-0.8891846,-0.7152616
67,-0.8839441,-0.7096578
68,-0.8813238,-0.7055687
69,-0.87870353,-0.7088897
70,-0.8708428,-0.7070576
71,-0.8669125,-0.7091274
72,-0.86298215,-0.7117696
73,-0.86429226,-0.7220268
74,-0.8669125,-0.7163124
75,-0.8656024,-0.71342933
76,-0.86429226,-0.71579355
77,-0.86298215,-0.70220643
78,-0.85250115,-0.6949558
79,-0.85774165,-0.7085335
80,-0.84857076,-0.7052009
81,-0.8459506,-0.6887574
82,-0.8538113,-0.6990578
83,-0.85250115,-0.6946409
84,-0.8538113,-0.66829014
85,-0.86167204,-0.6833172
86,-0.86167204,-0.6363983
87,-0.85643154,-0.66296804
88,-0.8538113,-0.5742636
89,-0.85250115,-0.5526532
90,-0.8394,-0.54465634
91,-0.8315392,-0.5636649
92,-0.8380898,-0.5706867
93,-0.84071016,-0.5650228
94,-0.84071016,-0.51927996
95,-0.8341595,-0.538156
96,-0.8276089,-0.51532316
97,-0.81712794,-0.49969137
98,-0.80533683,-0.48611623
99,-0.8079571,-0.47096992
100,-0.7948559,-0.4486388
101,-0.77913445,-0.45392138
102,-0.7660332,-0.4137321
103,-0.7660332,-0.43726063
104,-0.7594827,-0.41608536
105,-0.74638146,-0.3965869
106,-0.7267297,-0.38124645
107,-0.7136285,-0.35735977
108,-0.7057677,-0.3587389
109,-0.69266653,-0.34781784
110,-0.6795653,-0.3661722
111,-0.65991354,-0.35459548
112,-0.64550215,-0.35290056
113,-0.642882,-0.36720163
114,-0.6310909,-0.35668755
