TimeStep,real_f5,pred_f5
0,-0.8394,nan
1,-0.84202015,nan
2,-0.8459506,nan
3,-0.84464043,nan
4,-0.84464043,nan
5,-0.8459506,nan
6,-0.84857076,nan
7,-0.84988093,nan
8,-0.84988093,nan
9,-0.84988093,nan
10,-0.85512143,nan
11,-0.8590518,nan
12,-0.85643154,nan
13,-0.85643154,nan
14,-0.86167204,nan
15,-0.87870353,nan
16,-0.89311486,nan
17,-0.8918048,nan
18,-0.89049464,nan
19,-0.89049464,nan
20,-0.8918048,nan
21,-0.89311486,nan
22,-0.8918048,nan
23,-0.8891846,nan
24,-0.89311486,nan
25,-0.89442503,nan
26,-0.8852542,nan
27,-0.8800137,nan
28,-0.8760833,nan
29,-0.8734631,nan
30,-0.8708428,nan
31,-0.8734631,nan
32,-0.8800137,nan
33,-0.8800137,nan
34,-0.86298215,nan
35,-0.8773935,nan
36,-0.89835536,nan
37,-0.89835536,nan
38,-0.89704525,nan
39,-0.89573514,nan
40,-0.9009756,nan
41,-0.90359586,nan
42,-0.904906,nan
43,-0.904906,nan
44,-0.9009756,nan
45,-0.90228575,nan
46,-0.9140768,nan
47,-0.9180072,nan
48,-0.9127667,nan
49,-0.90359586,nan
50,-0.89966553,nan
51,-0.89573514,nan
52,-0.89442503,nan
53,-0.89442503,nan
54,-0.89573514,nan
55,-0.89573514,nan
56,-0.9009756,nan
57,-0.9009756,nan
58,-0.89704525,nan
59,-0.89573514,nan
60,-0.89442503,nan
61,-0.89704525,nan
62,-0.89966553,nan
63,-0.89835536,nan
64,-0.89704525,nan
65,-0.89835536,nan
66,-0.89966553,nan
67,-0.90228575,nan
68,-0.90359586,nan
69,-0.90228575,nan
70,-0.90228575,nan
71,-0.9062161,nan
72,-0.9101465,nan
73,-0.9153869,nan
74,-0.9166971,nan
75,-0.9166971,nan
76,-0.9166971,nan
77,-0.9153869,nan
78,-0.9180072,nan
79,-0.9206274,nan
80,-0.9193173,nan
81,-0.927178,nan
82,-0.93372864,nan
83,-0.9389691,nan
84,-0.9468298,nan
85,-0.9468298,nan
86,-0.9560007,nan
87,-0.970412,nan
88,-0.9625513,nan
89,-0.9664816,nan
90,-0.9664816,nan
91,-0.96779174,nan
92,-0.97303224,nan
93,-0.9953043,nan
94,-0.9939941,nan
95,-0.9612411,nan
96,-0.937659,nan
97,-0.92848814,nan
98,-0.927178,nan
99,-0.90228575,nan
100,-0.90359586,nan
101,-0.9009756,nan
102,-0.8734631,nan
103,-0.86167204,nan
104,-0.85643154,nan
105,-0.8433303,nan
106,-0.8394,nan
107,-0.8184381,nan
108,-0.7817546,nan
109,-0.7568624,nan
110,-0.73983085,nan
111,-0.708388,nan
112,-0.67170465,nan
113,-0.66384387,nan
114,-0.64681226,nan
115,-0.64812243,nan
116,-0.6703945,nan
117,-0.675635,nan
118,-0.65336293,nan
119,-0.6441921,nan
120,-0.65467304,nan
121,-0.67301464,nan
122,-0.6769451,nan
123,-0.6625337,nan
124,-0.66646415,nan
125,-0.6415718,nan
126,-0.62716055,nan
127,-0.64026165,nan
128,-0.66908437,nan
129,-0.71100813,nan
130,-0.7123183,nan
131,-0.7149386,nan
132,-0.7319702,nan
133,-0.7594827,nan
134,-0.7712737,nan
135,-0.78568506,nan
136,-0.796166,nan
137,-0.8145076,nan
