TimeStep,real_f5,pred_f5
0,-1.1139492,nan
1,-0.7774028,nan
2,-0.13235554,nan
3,0.21621037,nan
4,0.1561128,nan
5,0.5046787,nan
6,0.6008348,nan
7,0.2402494,nan
8,0.19217134,nan
9,-0.07225797,nan
10,0.07197619,nan
11,-0.16841409,nan
12,0.03591765,nan
13,0.56477624,nan
14,1.149726,nan
15,0.9293682,nan
16,0.4085226,nan
17,-0.16841409,nan
18,-0.7052857,nan
19,-1.1620272,nan
20,-1.3303005,nan
21,-1.2581834,nan
22,-1.3303005,nan
23,-1.3783785,nan
24,-1.2341443,nan
25,-0.92965,nan
26,-0.5049605,nan
27,0.2522689,nan
28,-0.000140892,nan
29,-0.036199436,nan
30,0.5166982,nan
31,0.08399571,nan
32,-0.07225797,nan
33,-0.24053116,nan
34,-0.34870678,nan
35,-0.4448629,nan
36,-0.34870678,nan
37,0.18015182,nan
38,0.8612576,nan
39,0.97744626,nan
40,0.6849714,nan
41,0.22822988,nan
42,-0.56505805,nan
43,-0.9016045,nan
44,-1.0618646,nan
45,-1.1980858,nan
46,-1.1740468,nan
47,-1.2341443,nan
48,-1.1500077,nan
49,-1.2822224,nan
50,-0.8375004,nan
51,-0.060238462,nan
52,-0.24053116,nan
53,0.07197619,nan
54,0.324386,nan
55,0.10803474,nan
56,0.20419085,nan
57,0.14409329,nan
58,0.21621037,nan
59,0.023898136,nan
60,0.21621037,nan
61,0.324386,nan
62,0.5527567,nan
63,0.26428843,nan
64,0.14409329,nan
65,-0.28860924,nan
66,-0.56505805,nan
67,-0.8655459,nan
68,-1.0738841,nan
69,-1.1980858,nan
70,-1.2461638,nan
71,-1.4264566,nan
72,-1.2822224,nan
73,-1.5586712,nan
74,-1.0498451,nan
75,-0.7774028,nan
76,0.047937166,nan
77,0.44458115,nan
78,0.26428843,nan
79,0.16813232,nan
80,-0.6251556,nan
81,-0.80544835,nan
82,-0.7573703,nan
83,-0.8615394,nan
84,-0.79342884,nan
85,-0.541019,nan
86,0.48063967,nan
87,0.3965031,nan
88,0.16813232,nan
89,-0.46890193,nan
90,-0.81746787,nan
91,-1.0899101,nan
92,-1.1980858,nan
93,-1.1860663,nan
94,-1.2461638,nan
95,-1.3182809,nan
96,-1.2341443,-1.003129
97,-0.80544835,-0.932891
98,-0.51698,-0.61902547
99,-0.3607263,-0.12597252
100,-0.30062875,-0.046607323
101,-0.000140892,0.28550106
102,0.21621037,0.3494109
103,-0.07225797,0.018670712
104,-0.02417992,0.06991131
105,-0.13235554,-0.08001757
106,-0.31264824,-0.18480143
107,-0.10831652,-0.12257195
108,0.1561128,-0.009996688
109,0.7651015,0.48163065
110,1.0695959,1.33389
111,1.157739,1.1039833
112,0.6969909,0.6801086
113,0.10803474,0.1627194
114,-0.56505805,-0.32130083
115,-0.9817346,-0.70982516
116,-1.1139492,-0.8897627
117,-1.2461638,-0.9607018
118,-1.2101053,-1.0320624
119,-1.34232,-1.0987005
120,-1.2101053,-1.0347881
121,-0.63717514,-0.9823435
122,-0.27658972,-0.6614193
123,-0.096297,-0.24054226
124,-0.07225797,-0.045858204
125,0.2402494,0.11126115
126,0.5407372,0.3177084
127,-0.048218947,0.0765469
128,0.047937166,0.017955128
129,-0.30062875,-0.010268958
130,-0.24053116,-0.11198015
131,-0.46890193,-0.15508114
132,0.07197619,-0.20110108
133,0.66093236,0.10143704
134,1.0816154,1.1257951
135,0.72904295,1.0649095
136,0.36044455,0.6042737
137,-0.13235554,0.08867724
138,-0.7774028,-0.38279116
139,-1.1500077,-0.77322793
140,-1.2822224,-0.95684546
141,-1.2822224,-1.0120127
142,-1.2461638,-1.0008585
143,-1.3182809,-1.1356386
144,-1.2942419,-0.9921885
145,-0.8254809,-0.9066318
146,-0.72131175,-0.80832094
147,-0.5049605,-0.40452385
148,-0.48092145,-0.30743238
149,-0.1804336,-0.04155767
150,0.10803474,0.18134901
151,-0.27658972,-0.024722291
152,-0.15639457,0.003067287
153,-0.4328434,-0.1564049
154,-0.45688242,-0.22000092
155,-0.5890971,-0.22290915
156,-0.57707757,-0.2270858
157,0.1561128,0.23352608
158,1.2218431,1.4051162
159,0.7050039,1.3000087
160,0.42054212,0.8203539
161,0.03591765,0.16640319
162,-0.5890971,-0.3030154
163,-0.95769554,-0.5627473
164,-1.1740468,-0.7924605
165,-1.1500077,-0.84793967
166,-1.2942419,-0.89285237
167,-1.2221248,-0.9711419
168,-1.1980858,-0.8230442
169,-0.5289995,-1.045799
170,-0.1804336,-0.84037215
171,-0.28860924,-0.5351398
172,-0.46890193,-0.1805149
173,0.023898136,0.076229386
174,0.49265918,0.2756526
175,-0.060238462,0.08675071
176,-0.12033603,-0.2014688
177,-0.22851165,-0.23435163
178,-0.048218947,-0.3639962
179,-0.45688242,-0.18969418
180,-0.07225797,-0.06952378
181,0.19217134,0.30021596
182,1.0135047,1.3694279
183,1.0135047,1.2682046
184,0.72904295,0.8352126
185,0.12005425,0.2125638
186,-0.72131175,-0.28763092
187,-1.1139492,-0.7103051
188,-1.2702029,-0.85959876
189,-1.2221248,-0.92556316
190,-1.2702029,-1.0219615
191,-1.3303005,-1.0699549
