TimeStep,real_f5,pred_f5
0,-0.108621255,nan
1,-0.003393306,nan
2,0.16797793,nan
3,1.597575,nan
4,2.5100515,nan
5,2.852794,nan
6,2.759592,nan
7,1.2954204,nan
8,0.011639291,nan
9,-0.110124536,nan
10,-0.21986221,nan
11,-0.23489481,nan
12,-0.4318214,nan
13,-0.5716243,nan
14,-0.66482615,nan
15,-0.6888783,nan
16,-0.70842063,nan
17,-0.7189434,nan
18,-0.681362,nan
19,-0.61371547,nan
20,-0.50097126,nan
21,-0.3762009,nan
22,-0.22587529,nan
23,-0.12365379,nan
24,-0.056007277,nan
25,0.005626218,nan
26,0.03418813,nan
27,0.002619711,nan
28,-0.000386797,nan
29,0.017652307,nan
30,-0.034961667,nan
31,-0.11764078,nan
32,-0.18228084,nan
33,-0.19881666,nan
34,-0.27548274,nan
35,-0.33561295,nan
36,-0.47391263,nan
37,-0.58665687,nan
38,-0.65280014,nan
39,-0.69489133,nan
40,-0.7174401,nan
41,-0.72345316,nan
42,-0.7129304,nan
43,-0.66632944,nan
44,-0.6016894,nan
45,-0.511494,nan
46,-0.38822696,nan
47,-0.26345667,nan
48,-0.23038502,nan
49,-0.23038502,nan
50,-0.1627385,nan
51,-0.11162776,nan
52,-0.11162776,nan
53,-0.04849098,nan
54,-0.1341766,nan
55,-0.17476454,nan
56,-0.25143063,nan
57,-0.24692084,nan
58,-0.31306413,nan
59,-0.39273673,nan
60,-0.5370494,nan
61,-0.6016894,nan
62,-0.6903815,nan
63,-0.70992386,nan
64,-0.72194993,nan
65,-0.72345316,nan
66,-0.70691735,nan
67,-0.6618197,nan
68,-0.5986829,nan
69,-0.5400559,nan
70,-0.39273673,nan
71,-0.3115609,nan
72,-0.21234597,nan
73,-0.17025475,nan
74,-0.14169289,nan
75,-0.12515707,nan
76,-0.10110495,nan
77,-0.12365379,nan
78,-0.18378407,nan
79,-0.25143063,nan
80,-0.23940454,nan
81,-0.2965283,nan
82,-0.40476277,nan
83,-0.5430624,nan
84,-0.61371547,nan
85,-0.6858718,nan
86,-0.72194993,nan
87,-0.727963,nan
88,-0.73547924,nan
89,-0.7174401,nan
90,-0.6618197,nan
91,-0.5370494,nan
92,-0.18378407,nan
93,-0.02443886,nan
94,-0.18528734,nan
95,-0.218359,nan
96,-0.17626782,nan
97,-0.0725431,nan
98,-0.012412829,nan
99,0.5167334,nan
100,1.591562,nan
101,2.5626655,nan
102,3.234621,nan
103,2.8031867,nan
104,0.12889327,nan
105,-0.110124536,nan
