TimeStep,real_f5,pred_f5
0,-0.22888179,-0.022653572
1,-0.14770591,-0.07078205
2,-0.12365379,-0.033157136
3,-0.09208543,0.002025916
4,-0.11463427,0.001293581
5,-0.110124536,-0.25897837
6,-0.14620268,-0.3440883
7,-0.21535248,-0.01683261
8,-0.2965283,0.40873638
9,-0.35665858,0.17441924
10,-0.446854,-0.06697245
11,-0.5746308,-0.20842251
12,-0.675349,-0.4591746
13,-0.75201505,-0.6018646
14,-0.798616,-0.6611544
15,-0.81064206,-0.6869544
16,-0.8091388,-0.65893465
17,-0.77907366,-0.5822659
18,-0.6588132,-0.4469451
19,-0.4393377,-0.19714057
20,-0.16424173,-0.012532425
21,-0.09208543,0.034277346
22,-0.19280364,0.0743472
23,-0.24090782,-0.02476926
24,-0.21234597,0.014908974
25,-0.15371893,0.048928034
26,-0.12816358,0.07150617
27,0.06725977,-0.060856547
28,0.5828767,0.51418453
29,1.10601,1.4861933
30,1.7088159,2.2136867
31,1.0037886,2.0762851
32,-0.07103982,1.7006176
33,-0.30855438,0.8490726
34,-0.44986048,0.031771466
35,-0.5851536,-0.35574815
36,-0.6903815,-0.5659812
37,-0.6783555,-0.58970207
38,-0.7174401,-0.62864006
39,-0.7294662,-0.71547043
40,-0.7309695,-0.6649594
41,-0.72044665,-0.63980556
42,-0.6588132,-0.5477364
43,-0.5250233,-0.35993668
44,-0.21234597,-0.1094647
45,-0.042477965,-0.07764828
46,-0.20482968,0.003612959
47,-0.25293386,-0.04110553
48,-0.18228084,-0.08138301
49,-0.062020294,-0.12029257
50,-0.009406322,-0.13616955
51,0.25216025,0.021638848
52,1.6802541,0.22979596
53,3.0422041,1.5257509
54,3.1925302,2.2514985
55,3.3413525,2.6711822
56,2.1056757,2.6468937
57,-0.06051707,1.7325758
58,-0.23489481,0.9240073
59,-0.45587352,-0.13862514
60,-0.5851536,-0.4102807
61,-0.6708392,-0.5723196
62,-0.7174401,-0.6580386
63,-0.7174401,-0.67086226
64,-0.727963,-0.64216524
65,-0.72194993,-0.638381
66,-0.6708392,-0.49559343
67,-0.51299727,-0.3252225
68,-0.20182316,-0.1439912
69,-0.01692262,-0.032900956
70,-0.17326126,-0.082257405
71,-0.20783618,-0.095824055
72,-0.14169289,-0.10332483
73,-0.065026805,-0.011776707
74,0.043207653,0.45440587
75,0.9752267,0.95953554
76,2.7896574,1.960341
77,3.0888052,3.1264005
78,3.5623312,3.2717748
79,3.7367086,3.0014892
80,2.460444,2.6472352
81,-0.019929126,2.108726
82,-0.218359,0.23760153
83,-0.44986048,-0.2143609
84,-0.59266984,-0.50869465
85,-0.66632944,-0.59934694
86,-0.70691735,-0.6308766
87,-0.72044665,-0.6405058
88,-0.727963,-0.6280893
89,-0.72194993,-0.5209591
90,-0.6678327,-0.37960282
91,-0.5250233,-0.285004
92,-0.19731338,-0.16204473
93,-0.031955156,-0.23718977
94,-0.17025475,0.036972262
95,-0.22587529,0.14228709
96,-0.1371831,-0.12256731
97,-0.04097468,-0.022577306
98,0.052227177,0.020500112
99,0.97071695,0.72407854
100,3.204556,1.9673557
101,3.6254678,2.622686
102,3.7321992,2.2440202
103,3.1414194,1.0517719
104,1.1465979,0.4229559
105,0.023665324,0.13562545
106,-0.19280364,-0.2350115
