TimeStep,real_f5,pred_f5
0,-0.81712794,-0.77763459
1,-0.8210583,-0.79179485
2,-0.8262987,-0.794171775
3,-0.8367797,-0.79062955
4,-0.84202015,-0.783297655
5,-0.84464043,-0.787016565
6,-0.8459506,-0.78992545
7,-0.84857076,-0.802087455
8,-0.84857076,-0.79296288
9,-0.8511911,-0.78906155
10,-0.84988093,-0.789796815
11,-0.84988093,-0.78189525
12,-0.8511911,-0.775294125
13,-0.8511911,-0.76730153
14,-0.8511911,-0.77449873
15,-0.8538113,-0.79123555
16,-0.85643154,-0.79170775
17,-0.85643154,-0.80156542
18,-0.8590518,-0.80102445
19,-0.86298215,-0.80468455
20,-0.8656024,-0.81220215
21,-0.8656024,-0.8157623
22,-0.86167204,-0.81012552
23,-0.85643154,-0.80887692
24,-0.85512143,-0.809309365
25,-0.85512143,-0.813984915
26,-0.85774165,-0.810110475
27,-0.86167204,-0.81408462
28,-0.86429226,-0.81997718
29,-0.8656024,-0.79995428
30,-0.86298215,-0.794892675
31,-0.86429226,-0.77230215
32,-0.8603619,-0.7707433
33,-0.8590518,-0.76930325
34,-0.86298215,-0.760507075
35,-0.86167204,-0.78353922
36,-0.86298215,-0.786712975
37,-0.8669125,-0.79926557
38,-0.8656024,-0.79728268
39,-0.86429226,-0.79902448
40,-0.8669125,-0.80190065
41,-0.8682226,-0.80208545
42,-0.86167204,-0.80385072
43,-0.8603619,-0.8004851
44,-0.8656024,-0.7933406
45,-0.86953276,-0.774584055
46,-0.8734631,-0.78437752
47,-0.8734631,-0.77858835
48,-0.8734631,-0.7875234
49,-0.86953276,-0.78803008
50,-0.8682226,-0.785898035
51,-0.872153,-0.79186923
52,-0.8760833,-0.791486675
53,-0.8760833,-0.78653255
54,-0.8760833,-0.7909881
55,-0.87870353,-0.788520485
56,-0.8826339,-0.795181
57,-0.8852542,-0.80037145
58,-0.8839441,-0.80704168
59,-0.8852542,-0.8095607
60,-0.8852542,-0.81081575
61,-0.8865643,-0.80519172
62,-0.8878744,-0.80658652
63,-0.8891846,-0.8056944
64,-0.89049464,-0.80728147
65,-0.8918048,-0.81126853
66,-0.8891846,-0.8086984
67,-0.8839441,-0.8051542
68,-0.8813238,-0.802561635
69,-0.87870353,-0.802405665
